Name,Background,Clothing,Expression,Eyes,Eyewear,Head,Mouth,Neck,Nose,Skin,Type,Price
Visitor1,Pink,,Delusional,Visitor,,Barbarian,Face Mask,Gold Necklace,,Green,Not for sale,
Visitor2,Pink,Black T-shirt,Surprised,Twirl,Eyepatch,,,,,Blue,Buy,11 
Visitor3,Purple,Mariniere,Surprised,Lime,Aviators,Bucket Hat,Face Mask,,,War Paint,Buy,5 
Visitor4,Green,,Surprised,Navy,Round Glasses,Bolero,Gagged,,Gold Brow Stud,Blue,Not for sale,
Visitor5,Red,Hoodie Down,Confident,Stoned,Round Glasses,Barbarian,Pipe,,Silver Brow Stud,Blue,Not for sale,
Visitor6,Yellow,Varsity,Delusional,Stoned,Round Glasses,Top Hat,Pipe,,Silver Nose Stud,Blue,Not for sale,
Visitor7,Pink,Alien,Confident,Navy,Round Glasses,Chef's Hat,Gagged,,,Blue,Buy,11 
Visitor8,Yellow,Bath Robe,Surprised,Navy,,Bubble,,,Silver Brow Stud,Green,Not for sale,
Visitor9,Orange,Black T-shirt,Surprised,Navy,Ray Bans,Mortarboard,Gagged,,,Green,Not for sale,
Visitor10,Green,,Confident,Lime,Aviators,Backwards Cap,,,Silver Nose Stud,Green,Buy,3.33 
Visitor11,Purple,Green Jersey,Confident,Stoned,Round Glasses,Police,Pipe,Silver Necklace,Gold Nose Stud,Blue,Not for sale,
Visitor12,Green,,Surprised,White,,Barbarian,,Frill,Silver Septum Piercing,Green,Buy,0.22 
Visitor13,Blue,Varsity,Delusional,Navy,Thug Life,Mortarboard,ToothPick,,Clown,Poison,Buy,1.3 
Visitor14,Green,Hoodie With Jacket,Confident,Visitor,,,Pipe,,Silver Brow Stud,Blue,Buy,0.25 
Visitor15,Yellow,Black T-shirt,Confident,Navy,,Ushanka,,Lei,,Green,Not for sale,
Visitor16,Orange,Leather Jacket,Surprised,Silver,,Antennae,Pipe,,Silver Septum Piercing,Cyborg,Not for sale,
Visitor17,Green,,Confident,Navy,Round Glasses,Headphones,ToothPick,,Silver Lip Ring,Cyborg,Not for sale,
Visitor18,Blue,Varsity,Surprised,Visitor,,Chef's Hat,Face Mask,,,Green,Not for sale,
Visitor19,Pink,Red T-shirt,Surprised,Navy,Thug Life,Police,Knife,,Silver Septum Piercing,Blue,Not for sale,
Visitor20,Red,Tie Dye,Tired,Lime,Gas Mask,Skullcap,,Pearl Necklace,,Green,Not for sale,
Visitor21,Blue,Mariniere,Confident,Lime,Steampunk,Halo,,Silver Necklace,,Red,Not for sale,
Visitor22,Pink,Tie Dye,Confident,Lime,Round Glasses,,Bubble Gum,Silver Necklace,,Green,Not for sale,
Visitor23,Pink,Hawaiian,Delusional,Visitor,Eyepatch,Balaclava,,Lei,,Green,Not for sale,
Visitor24,Red,Black T-shirt,Delusional,Visitor,,Bolero,Knife,Silver Necklace,Silver Septum Piercing,Poison,Not for sale,
Visitor25,Blue,Black T-shirt,Surprised,Navy,,,,Pearl Necklace,Silver Lip Ring,Green,Buy,0.425 
Visitor26,Purple,Hoodie With Jacket,Confident,Navy,Laser Eyes Yellow,Mortarboard,,,Silver Nose Stud,Silver,Not for sale,
Visitor27,Green,Alien,Confident,Silver,,Barbarian,Knife,,,Blue,Not for sale,
Visitor28,Blue,Red T-shirt,Tired,Silver,Round Glasses,Backwards Cap,Bandit Mask,Frill,,Gold,Buy,0.251 
Visitor29,Purple,Black T-shirt,Delusional,White,Aviators,Barbarian,Gagged,Neck Pillow,Silver Brow Stud,Blue,Buy,0.251 
Visitor30,Orange,Bulletproof Vest,Angry,Navy,,Flak Helmet,,,Clown,Blue,Not for sale,
Visitor31,Red,Alien,Delusional,Navy,Eyepatch,,,,,Green,Not for sale,
Visitor32,Green,Varsity,Tired,Visitor,Aviators,Balaclava,,,,Blue,Buy,0.75 
Visitor33,Pink,Imperial,Tired,White,Aviators,Flak Helmet,,,Silver Brow Stud,Red,Not for sale,
Visitor34,Blue,Mariniere,Delusional,Navy,Blindfold,Police Helmet,,Gold Necklace,Silver Septum Piercing,Cyberpunk,Not for sale,
Visitor35,Orange,Leather Jacket,Tired,Stoned,,Headphones,,,,Tats,Buy,4200 
Visitor36,Yellow,Black Tank Top,Surprised,Stoned,,Mortarboard,Fangs,Ethereum Necklace,,Blue,Not for sale,
Visitor37,Red,Bulletproof Vest,Confident,Visitor,,Top Hat,,Neck Pillow,Silver Lip Ring,Tats,Not for sale,
Visitor38,Green,Hawaiian,Confident,Lime,Round Glasses,Bucket Hat,Rose,Ethereum Necklace,,War Paint,Not for sale,
Visitor39,Purple,,Confident,Navy,Laser Eyes Blue,Viking,ToothPick,Gold Necklace,Silver Lip Ring,Blue,Not for sale,
Visitor40,Green,Black Tank Top,Tired,Golden,,,Pipe,Gold Necklace,Silver Nose Stud,Green,Not for sale,
Visitor41,Green,Alien,Confident,Visitor,,Backwards Cap,,,Silver Lip Ring,Blue,Min bid,0.75 
Visitor42,Green,Leather Jacket,Surprised,Lime,Laser Eyes Blue,Flak Helmet,,,,Green,Not for sale,
Visitor43,Pink,Leather Jacket,Confident,Lime,,Spartan,Bubble Gum,,Silver Lip Ring,Cyberpunk,Not for sale,
